,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Eggs - Whole, raw, 4 medium",259,1  2,17  63,22  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-05
1,"Watermelon, raw, 300 g",90,23  89,0  4,2  7,19,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-05
2,"The Cheese Emporium - Mature Lighter Cheese, 60 g",192,1  3,13  63,17  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-05
3,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-05
4,"chicken thigh cooked, 150 serving(s)",259,0  0,9  32,42  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-05
5,"Carbs - Carbs and Carbs, 50 g",200,50  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-05
6,"hula hoops - hula hoop crisps, 2 bag",244,30  50,12  47,2  3,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-05
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-05
8,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-05
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Cheesecake Factory - Cheesecake, 0.5 piece",250,24  38,16  56,4  6,18,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-06
1,"chicken thigh cooked, 150 serving(s)",259,0  0,9  32,42  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-06
2,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-06
3,"Cheesecake Factory - Cheesecake, 0.5 piece",250,24  38,16  56,4  6,18,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-06
4,"Watermelon, raw, 300 g",90,23  89,0  4,2  7,19,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-06
5,"chicken thigh cooked, 150 serving(s)",259,0  0,9  32,42  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-06
6,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-06
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-06
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"ASDA Extra Special - Espresso Dark Chocolate, 4 Squares",225,20  36,15  60,2  4,19,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-07
1,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-07
2,"The Cheese Emporium - Mature Lighter Cheese, 45 g",144,1  3,10  63,12  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-07
3,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-07
4,"chicken thigh cooked, 150 serving(s)",259,0  0,9  32,42  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-07
5,"Mission - Tortilla Wrap, 1.5 tortilla",315,54  69,8  22,8  9,5,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-07
6,"chicken thigh cooked, 100 serving(s)",173,0  0,6  32,28  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-07
7,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-07
8,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-07
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-08
1,"chicken thigh cooked, 150 serving(s)",259,0  0,9  32,42  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-08
2,"chicken thigh cooked, 150 serving(s)",259,0  0,9  32,42  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-08
3,"ASDA Extra Special - Espresso Dark Chocolate, 4 Squares",225,20  36,15  60,2  4,19,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-08
4,"chicken thigh cooked, 120 serving(s)",207,0  0,7  32,34  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-08
5,"Banana - Bananas, 100 g",89,20  92,0  3,1  5,12,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-08
6,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-08
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-08
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Watermelon, raw, 300 g",90,23  89,0  4,2  7,19,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-09
1,"Eggs - Whole, raw, 4 medium",259,1  2,17  63,22  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-09
2,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-09
3,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-09
4,"Vanilla Cake - Cake, 1 slice",200,40  52,15  44,3  4,32,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-09
5,"chicken thigh cooked, 200 serving(s)",346,0  0,12  32,56  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-09
6,"Banana - Bananas, 100 g",89,20  92,0  3,1  5,12,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-09
7,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-09
8,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-09
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"The Cheese Emporium - Mature Lighter Cheese, 45 g",144,1  3,10  63,12  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-10
1,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-10
2,"Vanilla Cake - Cake, 1 slice",200,40  52,15  44,3  4,32,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-10
3,"chicken thigh cooked, 200 serving(s)",346,0  0,12  32,56  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-10
4,"ASDA Extra Special - Espresso Dark Chocolate, 4 Squares",225,20  36,15  60,2  4,19,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-10
5,"hula hoops - hula hoop crisps, 2 bag",244,30  50,12  47,2  3,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-10
6,"Banana - Bananas, 100 g",89,20  92,0  3,1  5,12,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-10
7,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-10
8,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-10
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Mission - Tortilla Wrap, 0.75 tortilla",158,27  69,4  22,4  9,2,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-11
1,"Tesco - Brioche Burger Bun, 50 g",137,22  66,3  19,5  15,3,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-11
2,"Guacamole - Guacamole, 1 container",100,5  19,9  77,1  4,1,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-11
3,"Mission - Tortilla Wrap, 0.75 tortilla",158,27  69,4  22,4  9,2,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-11
4,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-11
5,"Guacamole - Guacamole, 1 container",100,5  19,9  77,1  4,1,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-11
6,"chicken thigh cooked, 200 serving(s)",346,0  0,12  32,56  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-11
7,"Tesco - Tiger Baguette, 100 g",288,57  81,2  6,9  13,4,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-11
8,"Oreo Thins - Biscuit, 4 biscuits (24g)",118,17  58,5  38,1  4,10,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-11
9,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-11
10,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-11
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Watermelon, raw, 300 g",90,23  89,0  4,2  7,19,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-12
1,"chicken thigh cooked, 200 serving(s)",346,0  0,12  32,56  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-12
2,"Tesco - Tiger Baguette, 100 g",288,57  81,2  6,9  13,4,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-12
3,"chicken thigh cooked, 200 serving(s)",346,0  0,12  32,56  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-12
4,"Watermelon, raw, 300 g",90,23  89,0  4,2  7,19,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-12
5,"chicken thigh cooked, 75 serving(s)",130,0  0,4  32,21  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-12
6,"The Cheese Emporium - Mature Lighter Cheese, 45 g",144,1  3,10  63,12  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-12
7,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-12
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Eggs - Whole, raw, 1 medium",65,0  2,4  63,6  35,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-13
1,"Hovis - 50/50 Bread, 1 slice",91,16  75,1  6,4  19,1,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-13
2,"Brakes - Victoria Sandwich, 1 Slice 100 grams",363,43  48,19  48,4  4,28,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-13
3,"chicken thigh cooked, 200 serving(s)",346,0  0,12  32,56  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-13
4,"Watermelon, raw, 300 g",90,23  89,0  4,2  7,19,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-13
5,"Oreo Thins - Biscuit, 4 biscuits (24g)",118,17  58,5  38,1  4,10,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-13
6,"chicken thigh cooked, 250 serving(s)",432,0  0,15  32,70  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-13
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-14
1,"chicken thigh cooked, 300 serving(s)",519,0  0,18  32,84  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-14
2,"Carbs - Carbs and Carbs, 50 g",200,50  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-14
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-15
1,"ASDA Extra Special - Espresso Dark Chocolate, 4 Squares",225,20  36,15  60,2  4,19,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-15
2,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-15
3,"Franz - Sesame Buns, 1.5 Bun",300,54  71,5  15,11  14,8,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-15
4,"Princes - Tuna Flakes in Brine - Drained, 240 gram",199,0  0,3  13,43  87,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-15
5,"ASDA Extra Special - Espresso Dark Chocolate, 4 Squares",225,20  36,15  60,2  4,19,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-15
6,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-15
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-15
8,"Strawberries, raw, 200 g",64,15  85,1  7,1  8,10,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-15
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-16
1,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-16
2,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-16
3,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-16
4,"ASDA Extra Special - Espresso Dark Chocolate, 2 Squares",113,10  36,7  60,1  4,10,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-16
5,"chicken thigh cooked, 100 serving(s)",173,0  0,6  32,28  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-16
6,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-16
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-16
8,"Strawberries, raw, 200 g",64,15  85,1  7,1  8,10,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-16
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Mission - Tortilla Wrap, 1.5 tortilla",315,54  69,8  22,8  9,5,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-17
1,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-17
2,"chicken thigh cooked, 200 serving(s)",346,0  0,12  32,56  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-17
3,"Watermelon, raw, 300 g",90,23  89,0  4,2  7,19,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-17
4,"Carbs - Carbs and Carbs, 50 g",200,50  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-17
5,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-17
6,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-17
7,"Strawberries, raw, 200 g",64,15  85,1  7,1  8,10,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-17
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Watermelon, raw, 300 g",90,23  89,0  4,2  7,19,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-18
1,"Mission - Tortilla Wrap, 1 tortilla",210,36  69,5  22,5  9,3,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-18
2,"chicken thigh cooked, 150 serving(s)",259,0  0,9  32,42  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-18
3,"ASDA Extra Special - Espresso Dark Chocolate, 3 Squares",169,15  36,11  60,2  4,14,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-18
4,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-18
5,"chicken thigh cooked, 150 serving(s)",259,0  0,9  32,42  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-18
6,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-18
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-18
8,"Strawberries, raw, 200 g",64,15  85,1  7,1  8,10,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-18
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Hovis - 50/50 Bread, 1 slice",91,16  75,1  6,4  19,1,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-19
1,"Mission - Tortilla Wrap, 1 tortilla",210,36  69,5  22,5  9,3,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-19
2,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-19
3,"chicken thigh cooked, 100 serving(s)",173,0  0,6  32,28  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-19
4,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-19
5,"chicken thigh cooked, 100 serving(s)",173,0  0,6  32,28  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-19
6,"Watermelon, raw, 500 g",150,38  89,1  4,3  7,31,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-19
7,"Oreo Thins - Biscuit, 4 biscuits (24g)",118,17  58,5  38,1  4,10,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-19
8,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-19
9,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-19
10,"Strawberries, raw, 200 g",64,15  85,1  7,1  8,10,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-19
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-20
1,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-20
2,"Vanilla Cake - Cake, 1 slice",200,40  52,15  44,3  4,32,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-20
3,"My Protein - Impact Whey Salted Caramel, 25 g",101,1  5,2  16,20  79,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-20
4,"chicken thigh cooked, 200 serving(s)",346,0  0,12  32,56  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-20
5,"indi grand - Garlic & Coriander Naan Bread, 100 gram",255,47  76,3  12,8  12,0,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-20
6,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-20
7,"Watermelon, raw, 500 g",150,38  89,1  4,3  7,31,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-20
8,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-20
9,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-20
10,"Strawberries, raw, 200 g",64,15  85,1  7,1  8,10,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-20
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-21
1,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-21
2,"chicken thigh cooked, 150 serving(s)",259,0  0,9  32,42  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-21
3,"Watermelon, raw, 500 g",150,38  89,1  4,3  7,31,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-21
4,"chicken thigh cooked, 100 serving(s)",173,0  0,6  32,28  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-21
5,"Carbs - Carbs and Carbs, 50 g",200,50  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-21
6,"Vanilla Cake - Cake, 1 slice",200,40  52,15  44,3  4,32,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-21
7,"Banana - Bananas, 100 g",89,20  92,0  3,1  5,12,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-21
8,"Blueberries, 200 g",114,29  91,1  5,1  4,20,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-21
9,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-21
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Eggs - White only, raw, 3 large",51,1  6,0  3,11  91,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-22
1,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-22
2,"Watermelon, raw, 500 g",150,38  89,1  4,3  7,31,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-22
3,"Oreo Thins - Biscuit, 4 biscuits (24g)",118,17  58,5  38,1  4,10,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-22
4,"Carbs - Carbs and Carbs, 25 g",100,25  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-22
5,"chicken thigh cooked, 170 serving(s)",294,0  0,10  32,48  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-22
6,"Tesco Frozen Pitted Sweet Cherries - Pitted Sweet Cherries, 200 grams",132,28  90,0  3,2  7,26,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-22
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-08-22
