,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 250 g",130,35  96,0  3,1  1,26,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-06
1,"Ryvita - Thins - Sweet Chilli, 8 Thin (8g)",232,42  72,4  16,7  12,6,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-06
2,"chicken chilli, 700 serving(s)",346,34  43,6  16,33  41,12,13,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-06
3,"Philadelphia - Light (19% Fat), 40 g",60,2  14,4  67,3  19,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-06
4,"chicken thigh stir fry, 200 serving(s)",241,12  21,7  25,32  54,5,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-06
5,"Iceland - Mixed Frozen Veg, 200 g",108,17  62,2  13,7  25,6,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-06
6,"Banana - Bananas, 100 g",89,20  92,0  3,1  5,12,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-06
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-06
8,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-06
9,"The Cheese Emporium - Mature Lighter Cheese, 45 g",144,1  3,10  63,12  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-06
10,"Hovis - 50/50 Bread, 1 slice",91,16  75,1  6,4  19,1,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-06
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 250 g",130,35  96,0  3,1  1,26,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-07
1,"Ryvita - Thins - Sweet Chilli, 8 Thin (8g)",232,42  72,4  16,7  12,6,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-07
2,"chicken chilli, 850 serving(s)",421,41  43,7  16,40  41,15,15,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-07
3,"The Cheese Emporium - Mature Lighter Cheese, 45 g",144,1  3,10  63,12  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-07
4,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-07
5,"chicken thigh stir fry, 120 serving(s)",144,7  21,4  25,19  54,3,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-07
6,"Iceland - Mixed Frozen Veg, 150 g",81,13  63,1  13,5  24,5,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-07
